Nev;Poszt;Dobott hetes;Ertekesitett hetes;Meccsek
F.B.;iranyito;24;19;5,7,3,5,6,5,6,11,5,4,5,11,9,7,7,1,3,4,8,3,8,6
T.T.;iranyito;1;1;0,0,0,,,,,,,0,0,1,0,0,0,,0,2,0,0,0,0
G.G.;iranyito;0;0;0,1,0,0,0,1,0,2,1,0,0,1,0,0,,,,,,,,
L.E.;atlovo;0;0;2,3,2,0,1,2,0,2,2,0,2,1,6,3,5,3,0,4,2,2,2,1
G.E.;atlovo;1;1;,,,,,1,,,,,,,,,0,3,1,0,0,0,0,0
M.R.;atlovo;69;57;8,7,6,15,7,10,6,7,8,8,10,5,6,6,3,10,7,2,6,10,3,8
S.P.;atlovo;0;0;,,,,,,,,,,,,,,,,0,,,,,
S.A.;atlovo;0;0;0,0,1,3,1,4,1,1,1,1,,3,0,0,0,5,3,1,5,1,2,0
B.R.;beallo;0;0;3,1,5,3,3,,5,4,3,5,1,2,2,3,1,7,2,6,1,3,9,4
B.B.;beallo;0;0;0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,4,0,1,2,2,2,3
P.K.;balszelso;0;0;1,2,4,1,2,0,1,0,0,3,13,4,4,0,9,4,,,3,2,2,2
V.M.;balszelso;10;8;1,3,4,3,2,4,5,4,7,4,1,6,3,5,2,9,4,6,6,5,5,5
T.K.;jobbszelso;0;0;,,,,,,,,,,,,,,,,,,,,,0
L.Z.;jobbszelso;0;0;5,3,1,2,7,4,3,2,4,5,5,2,4,5,5,1,8,5,3,4,3,2
B.M.;jobbszelso;0;0;0,0,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,3,0,2,0,
S.K.;balszelso;1;1;,,,,,1,,,,,,,,,,,,0,,,,
E.I.;balszelso;0;0;,,,,,,,0,,,,,,,,,,,,,,
H.K.;kapus;0;0;,,,0,0,,0,,0,,,,,,,,,,,,,
K.S.;kapus;0;0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
U.P.;kapus;0;0;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
